epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.87,1.46591,8.27497,0.67029,3.97045,1.19319,0.52775,0.35192,0.314,0.19618,0.37564,0.1267,0.08792,0.01966,1.25814,5.22963,0.47287,2.14409,1.20824,0.00332833,0.00332833,0.00332833
2,206.656,1.38069,5.59562,0.45455,2.37644,1.16088,0.74568,0.42568,0.48043,0.29937,0.66457,0.30885,0.30551,0.08481,1.2327,3.98975,0.21353,1.48934,1.16951,0.00659571,0.00659571,0.00659571
3,300.396,1.41451,4.99042,0.37408,1.93672,1.18635,0.44728,0.42501,0.39142,0.23409,0.3901,0.3479,0.28596,0.0801,1.32399,3.98735,0.13947,1.65047,1.2489,0.00979709,0.00979709,0.00979709
4,392.407,1.43187,4.73453,0.34405,1.81119,1.20968,0.58056,0.48587,0.49388,0.30642,0.52378,0.41678,0.37712,0.11336,1.28322,3.44781,0.11523,1.33609,1.22891,0.009703,0.009703,0.009703
5,483.642,1.38962,4.3419,0.3093,1.58209,1.19701,0.5091,0.66052,0.56802,0.34687,0.4398,0.55477,0.45238,0.16872,1.32007,3.11808,0.08927,1.26345,1.24935,0.009604,0.009604,0.009604
6,576.559,1.33367,4.0315,0.28266,1.41457,1.1698,0.69436,0.56945,0.6796,0.41613,0.58389,0.51671,0.4919,0.19012,1.22285,2.94955,0.07698,1.04311,1.20691,0.009505,0.009505,0.009505
7,675.253,1.30746,3.82989,0.26156,1.30853,1.15386,0.57265,0.66622,0.6734,0.43873,0.73736,0.50479,0.59173,0.23723,1.18253,2.80473,0.0611,1.0186,1.17512,0.009406,0.009406,0.009406
8,769.614,1.29022,3.66613,0.2438,1.2407,1.14985,0.60389,0.73524,0.73488,0.46826,0.7289,0.57094,0.6326,0.26304,1.18055,2.5356,0.0481,0.92047,1.18182,0.009307,0.009307,0.009307
9,867.112,1.24987,3.48459,0.22487,1.15228,1.13268,0.82861,0.61186,0.78033,0.52049,0.79489,0.58445,0.65362,0.27921,1.18208,2.51522,0.04645,0.92038,1.18032,0.009208,0.009208,0.009208
10,962.908,1.24308,3.38087,0.21556,1.11012,1.13392,0.76229,0.75304,0.78381,0.51314,0.83787,0.60361,0.68245,0.30032,1.20596,2.43787,0.042,0.88261,1.19764,0.009109,0.009109,0.009109
11,1059.7,1.22312,3.26003,0.20464,1.04946,1.11898,0.83486,0.76516,0.84272,0.56075,0.7457,0.66872,0.72342,0.34973,1.16126,2.29888,0.03538,0.81166,1.17652,0.00901,0.00901,0.00901
12,1155.61,1.19579,3.17421,0.19621,1.00656,1.11233,0.85409,0.75163,0.8426,0.55972,0.87029,0.63121,0.72533,0.35556,1.16717,2.20136,0.03092,0.80637,1.18269,0.008911,0.008911,0.008911
13,1255.19,1.18797,3.10267,0.19156,0.98198,1.10417,0.85425,0.73561,0.81261,0.54418,0.82852,0.69211,0.7365,0.36336,1.12708,2.07686,0.03326,0.74812,1.15342,0.008812,0.008812,0.008812
14,1352.98,1.1733,2.98119,0.18808,0.95192,1.10708,0.89251,0.7957,0.91052,0.60453,0.68718,0.82415,0.80251,0.40098,1.12795,2.053,0.03353,0.72024,1.16065,0.008713,0.008713,0.008713
15,1450.37,1.16569,2.92981,0.18558,0.94611,1.10175,0.75976,0.92818,0.9167,0.63833,0.81074,0.7543,0.8027,0.40413,1.11035,2.02257,0.02992,0.70533,1.15445,0.008614,0.008614,0.008614
16,1545.67,1.15118,2.87692,0.18002,0.91748,1.09197,0.87782,0.87123,0.92161,0.62874,0.7966,0.77919,0.81314,0.41727,1.12687,1.94266,0.02915,0.67559,1.16146,0.008515,0.008515,0.008515
17,1648.94,1.14293,2.74965,0.17514,0.87819,1.08819,0.7882,0.89953,0.91911,0.61987,0.89997,0.74328,0.80389,0.42422,1.11692,1.92979,0.02848,0.67346,1.15472,0.008416,0.008416,0.008416
18,1746.53,1.12147,2.69667,0.17314,0.86578,1.08106,0.91527,0.85368,0.9441,0.6608,0.77094,0.82892,0.84664,0.44726,1.08927,1.83937,0.02376,0.64429,1.13964,0.008317,0.008317,0.008317
19,1848.04,1.11657,2.64849,0.17121,0.85319,1.07973,0.90063,0.86727,0.92096,0.63131,0.8188,0.77967,0.82205,0.44751,1.0917,1.76762,0.02411,0.63389,1.14321,0.008218,0.008218,0.008218
20,1948.03,1.10679,2.61435,0.16697,0.83175,1.07201,0.88867,0.86777,0.92402,0.62808,0.83119,0.79035,0.84161,0.46172,1.09054,1.73808,0.02384,0.63565,1.14586,0.008119,0.008119,0.008119
21,2051.45,1.10545,2.58231,0.16797,0.82222,1.07454,0.85745,0.93018,0.95469,0.65659,0.8039,0.85716,0.87553,0.48827,1.08958,1.71234,0.02323,0.61711,1.14153,0.00802,0.00802,0.00802
22,2155.32,1.08981,2.52395,0.16534,0.80949,1.06218,0.92423,0.89512,0.94915,0.64573,0.8135,0.87409,0.87846,0.5115,1.10116,1.62757,0.02021,0.59063,1.14957,0.007921,0.007921,0.007921
23,2253.05,1.07844,2.48539,0.16814,0.79571,1.06286,0.90582,0.93671,0.9698,0.67163,0.84933,0.8779,0.89896,0.51713,1.08481,1.61001,0.02148,0.58888,1.12924,0.007822,0.007822,0.007822
24,2354.99,1.08366,2.45248,0.16418,0.78215,1.06696,0.92584,0.9213,0.97304,0.68603,0.92358,0.90479,0.95354,0.52419,1.08679,1.57844,0.02627,0.57447,1.13007,0.007723,0.007723,0.007723
25,2461.91,1.06208,2.38034,0.16129,0.76451,1.05508,0.91801,0.95471,0.96541,0.67664,0.85884,0.8904,0.89417,0.51248,1.08806,1.55587,0.02431,0.56916,1.13921,0.007624,0.007624,0.007624
26,2558.43,1.0694,2.3664,0.16083,0.76926,1.05805,0.93404,0.9049,0.96724,0.68696,0.85856,0.84903,0.89612,0.54269,1.08427,1.4916,0.02328,0.57392,1.1365,0.007525,0.007525,0.007525
27,2665.49,1.06162,2.28894,0.16055,0.75499,1.05384,0.91015,0.95594,0.97987,0.68503,0.90461,0.95075,0.97039,0.56947,1.09271,1.41941,0.02408,0.54653,1.12378,0.007426,0.007426,0.007426
28,2766.65,1.05003,2.27136,0.155,0.74861,1.0458,0.90861,0.96838,0.9723,0.68963,0.85275,0.90094,0.90022,0.55524,1.07167,1.43772,0.01806,0.55521,1.13339,0.007327,0.007327,0.007327
29,2876.23,1.04651,2.24585,0.1576,0.73103,1.0482,0.91479,0.90694,0.96254,0.67661,0.85412,0.83824,0.88917,0.56619,1.086,1.41405,0.02105,0.54806,1.14497,0.007228,0.007228,0.007228
30,2977.26,1.02554,2.19103,0.15627,0.73089,1.03946,0.89894,0.95959,0.97245,0.67409,0.84533,0.89182,0.89848,0.55401,1.08116,1.37346,0.0182,0.53242,1.13292,0.007129,0.007129,0.007129
31,3079.63,1.02804,2.17385,0.1549,0.72448,1.0361,0.92008,0.90035,0.97026,0.66697,0.85844,0.84558,0.89799,0.57284,1.07026,1.36244,0.0201,0.52593,1.12811,0.00703,0.00703,0.00703
32,3185.34,1.01799,2.14206,0.15186,0.71421,1.03726,0.93269,0.93028,0.96767,0.6788,0.96161,0.84994,0.89473,0.58224,1.07371,1.34791,0.01708,0.53711,1.12946,0.006931,0.006931,0.006931
33,3286.64,1.02465,2.13268,0.15539,0.70645,1.03855,0.93531,0.93456,0.97224,0.69178,0.8779,0.86723,0.90084,0.57881,1.04499,1.33256,0.01729,0.52185,1.12572,0.006832,0.006832,0.006832
34,3397.53,1.0149,2.07918,0.1522,0.69407,1.03405,0.94121,0.9222,0.97657,0.6863,0.87743,0.84929,0.9,0.59356,1.05302,1.30192,0.01704,0.50624,1.12296,0.006733,0.006733,0.006733
35,3499.37,1.00755,2.07227,0.15029,0.68945,1.03543,0.90115,0.96898,0.97618,0.6894,0.89787,0.96563,0.97187,0.61967,1.05625,1.30594,0.01717,0.51667,1.125,0.006634,0.006634,0.006634
36,3618.66,0.99645,2.0331,0.14946,0.68792,1.02951,0.87569,0.9716,0.96772,0.6842,0.90551,0.8877,0.88708,0.59158,1.07199,1.27619,0.01636,0.5239,1.13349,0.006535,0.006535,0.006535
37,3733.28,1.00401,2.0128,0.15208,0.68685,1.03569,0.95089,0.93539,0.97196,0.67889,0.88771,0.86749,0.90177,0.6107,1.05716,1.24807,0.01577,0.51728,1.12671,0.006436,0.006436,0.006436
38,3850.4,0.99126,1.98845,0.14865,0.66937,1.02685,0.95444,0.91744,0.97692,0.69897,0.84676,0.90759,0.90755,0.62249,1.04592,1.23699,0.01684,0.50229,1.11799,0.006337,0.006337,0.006337
39,3947.71,0.9864,1.94274,0.14711,0.6663,1.02433,0.93674,0.92929,0.97891,0.70229,0.82982,0.89501,0.89412,0.61834,1.04712,1.21403,0.01647,0.50081,1.11873,0.006238,0.006238,0.006238
40,4041.61,0.9826,1.96111,0.1485,0.67585,1.02654,0.95295,0.92983,0.97891,0.70446,0.89718,0.86047,0.9089,0.60969,1.05904,1.21276,0.01445,0.51105,1.13223,0.006139,0.006139,0.006139
41,4133.56,0.97484,1.96404,0.1487,0.67064,1.02147,0.9595,0.92115,0.97889,0.70295,0.95682,0.91768,0.97526,0.62246,1.04642,1.20804,0.01412,0.48892,1.12553,0.00604,0.00604,0.00604
42,4228.64,0.97566,1.92392,0.14552,0.65804,1.01975,0.90265,0.96512,0.97836,0.70005,0.90045,0.96167,0.97377,0.64814,1.04126,1.17133,0.01502,0.49309,1.12416,0.005941,0.005941,0.005941
43,4325.13,0.96004,1.85789,0.14304,0.64961,1.01778,0.90862,0.97982,0.97885,0.69766,0.90679,0.97791,0.97471,0.66495,1.05248,1.16105,0.01545,0.48398,1.13187,0.005842,0.005842,0.005842
44,4419.38,0.96488,1.86684,0.14251,0.65118,1.01746,0.95725,0.90909,0.97796,0.69869,0.95501,0.9066,0.97401,0.65972,1.04987,1.14946,0.01417,0.48197,1.12939,0.005743,0.005743,0.005743
45,4515.23,0.96169,1.86296,0.1433,0.64793,1.0164,0.92642,0.94647,0.97531,0.70209,0.92399,0.94336,0.96912,0.66127,1.05318,1.15733,0.01407,0.48839,1.12774,0.005644,0.005644,0.005644
46,4612.06,0.95018,1.82,0.14039,0.63796,1.01269,0.90862,0.97514,0.97625,0.69215,0.9068,0.97323,0.97281,0.64615,1.04321,1.13112,0.0132,0.48517,1.12281,0.005545,0.005545,0.005545
47,4705.05,0.94983,1.84181,0.1464,0.63262,1.01156,0.90467,0.9864,0.97742,0.68963,0.90208,0.98224,0.97395,0.65999,1.04733,1.12395,0.01384,0.48639,1.1253,0.005446,0.005446,0.005446
48,4801.36,0.94725,1.83007,0.14398,0.62911,1.00983,0.91588,0.97688,0.97611,0.68602,0.91317,0.97387,0.97086,0.65071,1.04436,1.12912,0.01369,0.4868,1.12822,0.005347,0.005347,0.005347
49,4894.1,0.94985,1.7975,0.14132,0.63239,1.00936,0.90929,0.97251,0.97759,0.70483,0.90721,0.96916,0.97158,0.6544,1.04345,1.1108,0.01266,0.47923,1.12184,0.005248,0.005248,0.005248
50,4989.89,0.94243,1.76611,0.14143,0.62834,1.00664,0.93898,0.94473,0.97851,0.69905,0.93706,0.94035,0.9724,0.67161,1.03277,1.10372,0.01261,0.47859,1.11736,0.005149,0.005149,0.005149
51,5086.19,0.93493,1.75301,0.13834,0.62139,1.00544,0.90746,0.96895,0.9779,0.70224,0.90499,0.96615,0.97208,0.67496,1.03784,1.09011,0.01249,0.48411,1.12064,0.00505,0.00505,0.00505
52,5180.05,0.93098,1.74968,0.1386,0.61527,1.0008,0.90659,0.97598,0.97342,0.6962,0.90498,0.974,0.96725,0.65998,1.0382,1.08215,0.0122,0.4763,1.12652,0.004951,0.004951,0.004951
53,5275.56,0.92645,1.74712,0.14108,0.61244,1.00393,0.9113,0.97238,0.97916,0.71407,0.9104,0.96232,0.97322,0.67052,1.02982,1.07528,0.01239,0.47519,1.12149,0.004852,0.004852,0.004852
54,5371.61,0.9197,1.72437,0.14185,0.61542,0.99783,0.93668,0.95231,0.97848,0.70399,0.92993,0.94553,0.96461,0.67774,1.03162,1.0602,0.01234,0.47394,1.11879,0.004753,0.004753,0.004753
55,5468.39,0.91313,1.66349,0.13628,0.59813,0.9963,0.90597,0.97279,0.97618,0.69539,0.89985,0.96672,0.96565,0.68214,1.03709,1.05239,0.01248,0.48149,1.12606,0.004654,0.004654,0.004654
56,5561.78,0.9071,1.67133,0.13803,0.59165,0.99477,0.94485,0.92027,0.97885,0.70864,0.94477,0.9202,0.97303,0.69146,1.02847,1.04341,0.01165,0.47446,1.12245,0.004555,0.004555,0.004555
57,5657.54,0.90719,1.67763,0.14147,0.60669,0.99523,0.8993,0.98049,0.97942,0.70558,0.89642,0.97729,0.97411,0.68784,1.02662,1.03904,0.01178,0.47397,1.12414,0.004456,0.004456,0.004456
58,5753.79,0.90325,1.65728,0.13705,0.59606,0.99342,0.90442,0.97234,0.97968,0.70334,0.90164,0.96947,0.97304,0.6798,1.02974,1.04512,0.01166,0.46851,1.12602,0.004357,0.004357,0.004357
59,5847.4,0.9047,1.64974,0.13567,0.58993,0.99505,0.93149,0.94508,0.97836,0.70112,0.92957,0.94317,0.97273,0.67832,1.02267,1.03886,0.01145,0.4694,1.12198,0.004258,0.004258,0.004258
60,5943.13,0.89332,1.6315,0.13565,0.58721,0.99054,0.90701,0.97639,0.97814,0.69664,0.90559,0.96749,0.97223,0.69258,1.02916,1.03166,0.01135,0.47092,1.1234,0.004159,0.004159,0.004159
61,6036.02,0.89268,1.60188,0.13548,0.58268,0.98897,0.9538,0.92049,0.97759,0.7017,0.95188,0.92128,0.97194,0.68515,1.03152,1.02546,0.01125,0.46965,1.1249,0.00406,0.00406,0.00406
62,6132.46,0.89147,1.62292,0.13331,0.58377,0.98429,0.91006,0.98229,0.9787,0.70684,0.90683,0.97902,0.9748,0.69292,1.03025,1.00029,0.01121,0.46515,1.12567,0.003961,0.003961,0.003961
63,6226.27,0.87735,1.57076,0.13369,0.57613,0.98368,0.90574,0.98213,0.97827,0.70738,0.89663,0.97236,0.96696,0.70305,1.0348,1.01445,0.01106,0.46653,1.12881,0.003862,0.003862,0.003862
